Trial,Generated,Changed,Position,Tone,Surprise,Alternative,Alt_Surprise,PitchDif,Entropy,RT
0,True,True,1,62,-0.0,,,0,0.0,0.0
0,True,True,2,67,3.9188750009807487,60.0,2.3480213048269967,5,3.404575092537958,3.809792000000016
0,True,True,3,69,1.912956758110731,64.0,3.4256155712407064,2,3.360822132241086,1.9138292210000145
0,True,True,4,70,4.239372713626132,64.0,4.297877345513188,1,2.865941993033453,1.6815506100001585
0,True,True,5,69,1.1266455612715809,74.0,2.6736338780856834,-1,2.027723320214681,0.7719355980007094
0,True,True,6,65,3.9251598523670244,67.0,0.7643629370614737,-4,1.4102141920908635,1.7681610749996253
0,True,True,7,61,15.885228047976156,56.0,20.871940665726225,-4,1.459748818518767,1.1565567030002057
0,True,True,8,63,0.6633544679623555,62.0,8.63689790637388,2,2.0926797748588153,1.3306104590001269
1,True,False,1,71,-0.0,,,0,0.0,0.0
1,True,False,2,73,2.2380607273497417,72.0,3.939726394158039,2,3.3264911720948964,0.7449690800003737
1,True,False,3,66,5.253844085231208,80.0,5.439658742757855,-7,3.300234722958809,1.4811833879994083
1,True,False,4,73,2.6504247663060436,75.0,3.843315063089113,7,3.296795345095767,1.044585380999706
1,True,False,5,71,1.1888368770762163,75.0,2.39762329974395,-2,2.3438799065539775,0.8522731089997251
1,True,False,6,67,3.88687674442505,74.0,3.8819706916686347,-4,2.377832608370727,1.1931335649996981
1,True,False,7,69,0.04518046447786927,74.0,5.993369297248245,2,0.2705207149342474,0.9828375170000072
1,True,False,8,64,9.506896684908785,71.0,0.014734620581423573,-5,0.10804981737102061,1.0746208990003652
2,True,False,1,71,-0.0,,,0,0.0,0.0
2,True,False,2,72,3.939726394158039,69.0,1.8632407968732245,1,3.3264911720948964,1.5433865830000286
2,True,False,3,74,2.088016409839036,75.0,3.671289084070686,2,3.376412662358794,1.0332152220007629
2,True,False,4,71,4.913159383417001,72.0,1.6570160009178656,-3,2.907504195913317,0.6944615140000678
2,True,False,5,69,1.1898127482627523,72.0,2.3318264968510642,-2,2.368469888730437,0.46151109899983567
2,True,False,6,67,0.8225036721885521,71.0,1.9340000995098385,-2,1.750194777700536,0.5840877259997797
2,True,False,7,71,2.846035929970668,76.0,2.9513583142056508,4,2.6907763340701583,1.560306895999929
2,True,False,8,66,5.031680754445881,69.0,0.06894702289807897,-5,0.33683499829044655,1.0735915380000733
3,True,True,1,64,-0.0,,,0,0.0,0.0
3,True,True,2,66,2.1769089746898738,62.0,2.1810286306335875,2,3.443106587287907,2.5324334489996545
3,True,True,3,61,4.986215781340886,69.0,3.177641531464777,-5,3.4110309588199024,0.7003359589998581
3,True,True,4,63,1.7723213692096236,66.0,3.3385702931436074,2,3.0999267907869688,0.6544663120002951
3,True,True,5,66,0.6819482462538522,61.0,2.987012743467889,3,1.978365836521019,0.5619210980003118
