Trial,Generated,Changed,Position,Tone,Surprise,Alternative,Alt_Surprise,Entropy,RT
0,True,True,1,69,-0.0,,,0.0,0.0
0,True,True,2,78,6.4117252747293785,77.0,6.842928481341992,3.267207861924635,6.834364163001737
0,True,True,3,76,1.7245770931925606,71.0,4.379444916293762,3.2494205397827503,0.5023287419971894
0,True,True,4,76,1.5159563970446261,73.0,4.254979011830154,2.971366385418827,0.5104551730000821
0,True,True,5,76,1.5159563970446261,79.0,3.0664835002473017,2.971366385418827,30.072060480997607
0,True,True,6,81,3.2927950876009513,76.0,1.5159563970446261,2.971366385418827,0.5717249709996395
0,True,True,7,79,3.0664835002473017,76.0,1.5159563970446261,2.971366385418827,0.5807617110003775
0,True,True,8,76,1.5159563970446261,71.0,4.129095085234385,2.971366385418827,0.27580097499958356
