Trial,Generated,Changed,Position,Tone,Surprise,Alternative,Alt_Surprise,PitchDif,Entropy,RT
0,True,False,1,61,-0.0,,,0,0.0,0.0
0,True,False,2,69,5.688082251000203,59.0,2.5271477832898004,8,3.408827837528595,0.746851583942771
0,True,False,3,66,3.703836875678449,67.0,1.946067476628676,-3,3.266746340420286,0.392546083079651
0,True,False,4,64,1.5447801311597544,69.0,1.7315393778913133,-2,2.6232721167057407,0.26600420800969005
0,True,False,5,62,2.045702834291948,66.0,1.1268150644882082,-2,2.434717368930251,0.2701646670466289
1,True,False,1,61,-0.0,,,0,0.0,0.0
1,True,False,2,59,2.5271477832898004,63.0,1.8411243506249906,-2,3.408827837528595,0.1254196249647066
1,True,False,3,56,4.067820206246656,62.0,2.8131212024589978,-3,3.5946898353331926,0.6690825830446556
1,True,False,4,59,1.1898808949174529,64.0,4.148363204945074,3,2.6226701502924126,0.4078758329851553
1,True,False,5,61,1.098640093726787,64.0,4.430657170709481,2,2.4754273053647577,0.2823879159986973
2,False,True,1,62,-0.0,,,0,0.0,0.0
2,False,True,2,53,9.201110366426532,55.0,5.808433303850101,-9,3.40551892997495,0.39392062497790903
2,False,True,3,57,3.853389399797313,55.0,1.921441781376371,4,3.5487364255457035,0.40664712502621114
2,False,True,4,55,0.8253897754816153,59.0,3.244797659275387,-2,1.7713778046794262,0.32513308292254806
2,False,True,5,53,1.5592410907695706,57.0,2.564728280721151,-2,2.6724508907038356,0.36976683407556266
3,False,False,1,73,-0.0,,,0,0.0,0.0
3,False,False,2,66,5.253844085231208,78.0,4.687747232346612,-7,3.300234722958809,0.2749995409976691
3,False,False,3,71,3.8505333139651863,68.0,2.141942314947861,5,3.4110309588199024,0.39717833301983774
3,False,False,4,66,3.6421450501620933,73.0,1.7629006189362275,-5,2.876181401058085,0.34571466699708253
3,False,False,5,68,2.560184936211308,69.0,4.142247624996308,2,2.476900424893326,0.44310800009407103
4,True,True,1,70,-0.0,,,0,0.0,0.0
4,True,True,2,72,2.0295478472933137,68.0,2.127682525816999,2,3.381743623462121,0.25937712495215237
4,True,True,3,77,4.405284761118036,70.0,2.232588002143888,5,3.376412662358794,0.31582595908548683
4,True,True,4,72,2.774302867828829,76.0,2.7978636017145813,-5,2.937375706906173,0.2009026249870658
4,True,True,5,75,2.8569169382158868,77.0,1.0534871443867153,3,2.329586096835642,0.4109171669697389
5,True,True,1,60,-0.0,,,0,0.0,0.0
5,True,True,2,62,1.9296774372723635,58.0,2.6640636924952426,2,3.4160728239352625,0.8723913750145584
5,True,True,3,60,2.3480213048269967,64.0,1.9235572125283575,-2,3.40551892997495,1.4082922080997378
5,True,True,4,57,2.9555387803367785,58.0,2.4316092994626874,-3,2.8400015760953323,0.2564809999894351
5,True,True,5,55,2.7593136366304116,64.0,2.9909024588771214,-2,2.845386112277498,0.5710955410031602
6,False,False,1,68,-0.0,,,0,0.0,0.0
6,False,False,2,71,3.294259765186547,70.0,2.040190219573672,3,3.411931405518565,0.2960229159798473
6,False,False,3,74,3.3474950669819874,69.0,1.8632407968732245,3,3.3264911720948964,1.462286458001472
6,False,False,4,76,1.5306415426778899,71.0,1.8100014122206347,2,2.723794984993658,0.22934166598133743
6,False,False,5,74,1.4022001002738291,73.0,5.961381322525766,-2,2.6063753430902046,0.323130999924615
7,False,True,1,68,-0.0,,,0,0.0,0.0
7,False,True,2,65,3.594526874828702,71.0,3.294259765186547,-3,3.411931405518565,0.7092469159979373
7,False,True,3,67,1.7346468552745236,63.0,2.2427594352565734,2,3.2694808087946488,0.24004000006243587
7,False,True,4,76,9.154077934379712,75.0,8.908908897052735,9,2.917363537935089,0.35858595895115286
7,False,True,5,74,0.08164803331687084,67.0,8.606709847273981,-2,0.47959515978100736,0.43966895795892924
8,True,False,1,65,-0.0,,,0,0.0,0.0
8,True,False,2,67,1.7346468552745236,68.0,3.3721655478362176,2,3.2694808087946488,0.4646806661039591
8,True,False,3,62,5.021875663296248,69.0,1.912956758110731,-5,3.360822132241086,0.3913647501030937
8,True,False,4,65,2.5021430369252298,69.0,4.073879010002994,3,3.1324270099663862,0.23876541701611131
8,True,False,5,60,4.154522022985552,62.0,1.418500083764654,-5,2.122826525852135,0.3108692499808967
9,True,False,1,72,-0.0,,,0,0.0,0.0
9,True,False,2,75,3.671289084070686,80.0,7.321662384099981,3,3.376412662358794,0.331607082975097
9,True,False,3,82,6.240484967081666,68.0,5.194764016981603,7,3.220443010213872,0.7011781249893829
9,True,False,4,77,4.332755641922265,84.0,3.8934693957255906,-5,2.5450349948548245,0.3166280419100076
9,True,False,5,78,1.7994371244668788,79.0,4.072100098885709,1,2.3438320747211763,0.1799372499808669
10,False,True,1,70,-0.0,,,0,0.0,0.0
10,False,True,2,73,3.4232593386742356,68.0,2.127682525816999,3,3.381146931142195,0.41358466702513397
10,False,True,3,74,3.966053818101713,75.0,2.1007894492757884,1,3.300234722958809,0.25703824998345226
10,False,True,4,80,8.739416808025423,75.0,8.936177576170493,6,2.6513901822848216,0.2481037089601159
10,False,True,5,77,0.43238555714591814,79.0,3.3576427075615887,-3,1.4156001331063137,0.34537037496920675
11,False,False,1,72,-0.0,,,0,0.0,0.0
11,False,False,2,68,5.393643042589754,73.0,4.392526360800033,-4,3.376412662358794,0.29048962495289743
11,False,False,3,71,3.294259765186547,70.0,2.040190219573672,3,3.411931405518565,0.2614901668857783
11,False,False,4,73,1.4384805915889347,76.0,5.70137287459909,2,2.5609956263322355,0.3248741659335792
11,False,False,5,64,5.103587201083434,70.0,5.096242194688383,-9,2.6359643215332498,0.5556247089989483
12,True,False,1,70,-0.0,,,0,0.0,0.0
12,True,False,2,75,4.409291563189563,72.0,2.0295478472933137,5,3.381146931142195,0.22719891695305705
12,True,False,3,73,1.8250112833701577,78.0,3.7502980497996545,-2,3.220443010213872,0.24490537506062537
12,True,False,4,70,2.7176291901403173,71.0,2.086840027775224,-3,2.743891017610528,0.2861429579788819
12,True,False,5,78,4.887296038329871,75.0,3.0702617380873654,8,2.609112816491409,0.21465249999891967
13,True,True,1,64,-0.0,,,0,0.0,0.0
13,True,True,2,62,2.1810286306335875,69.0,3.754500493184299,-2,3.443106587287907,0.19862741697579622
13,True,True,3,59,3.8976802395396626,58.0,5.743969467611386,-3,3.404575092537958,0.23429762502200902
13,True,True,4,58,10.20039321590961,54.0,10.970273432548552,-1,2.7143984506420917,0.2978294159984216
13,True,True,5,59,1.1403363829925486,56.0,1.373271206027425,1,1.8916817785729259,0.320069000008516
14,False,True,1,74,-0.0,,,0,0.0,0.0
14,False,True,2,76,2.2004931279775914,72.0,1.8848527288588888,2,3.2684824570540854,0.3984092919854447
14,False,True,3,80,5.904561452354256,74.0,1.667617132373487,4,3.248809684680445,0.5596880839439109
14,False,True,4,78,0.8837075876716035,83.0,2.8767911283814915,-2,2.059081756932989,0.5424733749823645
14,False,True,5,75,1.8872499612485079,71.0,3.1687441611983496,-3,2.264267230103697,0.34485408407635987
15,False,False,1,65,-0.0,,,0,0.0,0.0
15,False,False,2,69,5.067105812751246,67.0,1.7346468552745236,4,3.2694808087946488,0.6132786249509081
15,False,False,3,78,6.4117252747293785,71.0,2.0143509242657833,9,3.266746340420286,0.2237299159169197
15,False,False,4,76,0.7229291611681286,81.0,2.772239803608328,-2,1.9994368592117655,0.2829780000029132
15,False,False,5,74,1.8297419462193223,78.0,2.153085844292175,-2,2.289102318054639,0.2569509169552475
16,True,True,1,74,-0.0,,,0,0.0,0.0
16,True,True,2,83,7.529856285480573,82.0,7.408151051368175,9,3.269012227224951,0.12104612495750189
16,True,True,3,81,1.5803291118414862,80.0,3.1313021845816182,-2,3.264608138191071,0.30801241693552583
16,True,True,4,76,3.118426658519048,79.0,1.697705119817974,-5,2.681776569418175,0.27189858304336667
16,True,True,5,78,2.0812052366674285,74.0,1.6697919926266676,2,2.8008431314180022,0.22529479209333658
17,True,True,1,71,-0.0,,,0,0.0,0.0
17,True,True,2,73,2.2380607273497417,78.0,5.233696221794538,2,3.3264911720948964,0.3238351669861004
17,True,True,3,64,7.178485602059072,79.0,10.779294138718932,-9,3.3008339937282973,0.2832556660287082
17,True,True,4,66,0.9921755457837483,61.0,3.3946778577853203,2,2.4700982287658215,0.29686899995431304
17,True,True,5,69,1.330488471725167,68.0,1.3918689938693953,3,1.8103009086172508,0.4150267920922488
18,False,True,1,62,-0.0,,,0,0.0,0.0
18,False,True,2,70,6.9846649819728235,63.0,4.508438576815813,8,3.404575092537958,0.28615800000261515
18,False,True,3,75,4.409291563189563,74.0,5.2835998060814635,5,3.381146931142195,0.25845008296892047
18,False,True,4,77,1.702277737061579,70.0,3.213154561041612,2,2.7509043369562294,0.33743266703095287
18,False,True,5,80,4.876134131965336,75.0,1.2424733844029083,3,2.2225098694492056,0.26981420803349465
19,False,False,1,74,-0.0,,,0,0.0,0.0
19,False,False,2,69,4.499987783569475,72.0,1.8848527288588888,-5,3.2684824570540854,0.2709147500572726
19,False,False,3,66,3.703836875678449,71.0,2.0143509242657833,-3,3.266746340420286,0.3793504169443622
19,False,False,4,69,1.7315393778913133,64.0,1.5447801311597544,3,2.6232721167057407,0.3233134999172762
19,False,False,5,76,4.475446854839011,71.0,1.4399520086812068,7,2.279187078154422,0.4697099160403013
20,True,True,1,71,-0.0,,,0,0.0,0.0
20,True,True,2,69,1.8632407968732245,73.0,2.2380607273497417,-2,3.3264911720948964,0.45482687500771135
20,True,True,3,77,6.842928481341992,60.0,7.1990467912174525,8,3.267207861924635,0.23807704204227775
20,True,True,4,76,1.1439321985556428,74.0,2.1839720031485066,-1,2.455138688149735,0.4016792919719592
20,True,True,5,74,0.888563562321594,72.0,4.619814684510323,-2,1.9416354536113722,0.16263716691173613
21,True,True,1,72,-0.0,,,0,0.0,0.0
21,True,True,2,75,3.671289084070686,70.0,2.232588002143888,3,3.3769043132040446,0.6469925410347059
21,True,True,3,68,5.194764016981603,76.0,4.0455851844624116,-7,3.220443010213872,0.36213112506084144
21,True,True,4,75,2.5587643380793956,70.0,1.8871414443901517,7,3.254635956618539,0.2535199170233682
21,True,True,5,73,0.9838248911554159,68.0,4.940744263379187,-2,2.2084059213623832,0.8277298749890178
22,False,True,1,66,-0.0,,,0,0.0,0.0
22,False,True,2,75,6.535383141627113,74.0,6.784821194289326,9,3.411795809706611,0.49033333407714963
22,False,True,3,71,4.853702553915563,73.0,1.8250112833701577,-4,3.220443010213872,0.46317316591739655
22,False,True,4,73,1.7211656948614917,68.0,1.9782409434677775,2,2.8542306604142373,0.4261335419723764
22,False,True,5,71,1.6952172678399684,75.0,1.1428268337873,-2,1.9902491449390884,0.605911166057922
23,False,True,1,64,-0.0,,,0,0.0,0.0
23,False,True,2,67,2.9312617845960474,62.0,2.1810286306335875,3,3.4439720952079393,0.21634370798710734
23,False,True,3,74,4.948896217939142,65.0,2.215979728426081,7,3.360822132241086,0.29669224994722754
23,False,True,4,76,2.8198882244568866,71.0,3.7242731223733485,2,2.8390824256339355,0.29071479209233075
23,False,True,5,74,1.3624002749963136,79.0,2.6797990631516737,-2,2.6443618520123544,0.3609705000417307
24,True,True,1,74,-0.0,,,0,0.0,0.0
24,True,True,2,77,3.694087435697488,72.0,1.8848527288588888,3,3.2684824570540854,0.6055944160325453
24,True,True,3,75,1.8660634201017439,74.0,3.100757442558323,-2,3.2806852397967843,0.23688529198989272
24,True,True,4,71,10.102861990408833,76.0,9.457177158940748,-4,2.757491827759696,0.31012933305464685
24,True,True,5,68,3.563203444188934,73.0,0.3812579436593694,-3,1.4381946845852183,0.5081570419715717
25,True,False,1,69,-0.0,,,0,0.0,0.0
25,True,False,2,67,1.946067476628676,71.0,2.0143509242657833,-2,3.266746340420286,0.3024346249876544
25,True,False,3,72,4.284842019082111,65.0,2.215979728426081,5,3.360822132241086,0.09241099993232638
25,True,False,4,69,2.8063047722320156,75.0,4.178334371890481,-3,3.1003467266334,0.666441542096436
25,True,False,5,67,1.36082457939018,74.0,4.722117764077509,-2,2.4194925987972953,0.5997630000347272
26,False,False,1,67,-0.0,,,0,0.0,0.0
26,False,False,2,62,5.021875663296248,69.0,1.912956758110731,-5,3.360822132241086,0.4406408340437338
26,False,False,3,58,5.743969467611386,67.0,3.9188750009807487,-4,3.404575092537958,0.5192806249251589
26,False,False,4,63,3.2722577236302945,60.0,0.83689903496053,5,1.9461878723163906,0.532024833955802
26,False,False,5,62,2.6671112952498697,60.0,0.4157639085117858,-1,1.2880043636115002,0.2588716669706628
27,False,True,1,74,-0.0,,,0,0.0,0.0
27,False,True,2,73,3.9797798790367076,76.0,2.2004931279775914,-1,3.2684824570540854,0.25777283404022455
27,False,True,3,75,2.1007894492757884,71.0,1.9855831148423633,2,3.3008339937282973,0.1549890829483047
27,False,True,4,73,1.5126273059386754,71.0,4.168549202182899,-2,2.851668639234728,0.28158395807258785
27,False,True,5,75,1.4363232875521765,71.0,1.9594193227347942,2,2.5110807279766836,0.2980138750281185
28,True,False,1,63,-0.0,,,0,0.0,0.0
28,True,False,2,64,4.35107258307814,61.0,2.6561156552435885,1,3.42285722931988,0.42244175006635487
28,True,False,3,69,3.754500493184299,66.0,2.1769089746898738,5,3.443106587287907,0.2818148749647662
28,True,False,4,66,2.689696365451154,67.0,1.679043301799692,-3,2.6925568109736306,0.26044812495820224
28,True,False,5,62,1.997896643121767,64.0,1.1172665356330385,-4,1.8768094583521902,0.3785580419935286
29,True,True,1,65,-0.0,,,0,0.0,0.0
29,True,True,2,57,7.526269197671885,73.0,6.924684476003315,-8,3.2702649915977844,0.5967951250495389
29,True,True,3,64,3.3472606028273124,62.0,3.210051019593466,7,3.505285083575251,0.1550532910041511
29,True,True,4,57,2.635766001242657,66.0,3.139460090874853,-7,3.071079703793071,0.28485358296893537
29,True,True,5,64,2.091097727525985,59.0,3.231749888296006,7,2.442675078372647,0.3149935830151662
30,False,True,1,70,-0.0,,,0,0.0,0.0
30,False,True,2,69,4.262999880056443,74.0,5.2835998060814635,-1,3.381146931142195,0.2933141670655459
30,False,True,3,60,7.1990467912174525,61.0,7.780748962775022,-9,3.267207861924635,0.17385020898655057
30,False,True,4,65,2.516609339518297,62.0,2.356908292697877,5,3.025514595760546,0.23447783302981406
30,False,True,5,67,0.9401835369548192,64.0,3.222707994665123,2,1.7723813320487622,0.4288358329795301
31,False,True,1,71,-0.0,,,0,0.0,0.0
31,False,True,2,74,3.3474950669819874,69.0,1.8632407968732245,3,3.326987972014199,0.39669249998405576
31,False,True,3,76,2.2004931279775914,72.0,1.8848527288588888,2,3.2684824570540854,0.3582206249702722
31,False,True,4,72,4.250522071305487,74.0,1.4680230084001025,-4,2.951968438452314,0.44174779194872826
31,False,True,5,67,3.5849653174968124,69.0,2.88748108863103,-5,2.5110065343374797,0.2684849159559235
32,True,True,1,64,-0.0,,,0,0.0,0.0
32,True,True,2,66,2.1769089746898738,61.0,4.275235596939168,2,3.443106587287907,0.12216499994974583
32,True,True,3,63,3.8107143876870753,64.0,2.131805255908111,-3,3.411795809706611,0.2877714579226449
32,True,True,4,68,2.5922078498109493,61.0,2.1027210801629965,5,2.9075982725379017,0.42878616601228714
32,True,True,5,71,4.348613161627109,63.0,3.2639943881715046,3,2.448783333852265,0.03718712506815791
33,True,True,1,74,-0.0,,,0,0.0,0.0
33,True,True,2,72,1.8848527288588888,77.0,3.694087435697488,-2,3.2684824570540854,0.7571775419637561
33,True,True,3,74,2.088016409839036,69.0,3.1935776780786895,2,3.376412662358794,0.6078451659996063
33,True,True,4,77,2.6572970946932903,72.0,1.6570160009178656,3,2.907508683861446,0.13861466699745506
