Trial,Generated,Changed,Position,Tone,Surprise,Alternative,Alt_Surprise,PitchDif,Entropy,RT
0,True,True,1,65,-0.0,,,0,0.0,0.0
0,True,True,2,67,1.7346468552745236,68.0,3.3721655478362176,2,3.2694808087946488,0.5534592500189319
0,True,True,3,69,1.912956758110731,63.0,5.609733262161238,2,3.360822132241086,1.2715960000641644
0,True,True,4,72,2.3779476407625135,66.0,6.1098143987021505,3,2.865941993033453,0.3146487089106813
0,True,True,5,69,1.3217404834288042,71.0,4.254385075880571,-3,2.6364721353906,0.48941445897798985
0,True,True,6,73,18.52062592766887,68.0,17.334621400483027,4,2.3374928906019394,0.3654112920630723
0,True,True,7,72,0.4081154779268394,68.0,6.9599532077204875,-1,1.3977208405171402,0.3946658750064671
0,True,True,8,77,10.407096846426994,70.0,0.13544052610905466,5,0.612641030754039,0.9472792920423672
1,True,True,1,68,-0.0,,,0,0.0,0.0
1,True,True,2,70,2.040190219573672,65.0,3.594526874828702,2,3.411931405518565,0.42688320903107524
1,True,True,3,78,6.830407174710295,66.0,5.2123933568714556,8,3.381146931142195,0.525341457920149
1,True,True,4,75,2.9589150244354463,77.0,1.0268359312499038,-3,2.4421529656290812,0.11246979201678187
1,True,True,5,74,10.724913374839238,67.0,11.189861026181706,-1,2.1129928263954167,0.18369350000284612
1,True,True,6,75,3.1343241171193963,77.0,0.5475304512254361,1,1.4772960848731798,0.07655787491239607
1,True,True,7,82,5.662485381745399,74.0,1.1788052054704543,7,2.2718597268142022,0.44717829197179526
1,True,True,8,80,5.784570712729843,75.0,0.08073609667863238,-2,0.4316310922513298,0.3333233749726787
2,True,True,1,70,-0.0,,,0,0.0,0.0
2,True,True,2,77,4.807200471052251,68.0,2.127682525816999,7,3.381146931142195,0.2816600409569219
2,True,True,3,75,1.8660634201017439,78.0,4.459753146394565,-2,3.2806852397967843,0.3064914579736069
2,True,True,4,73,1.9527355833497433,72.0,2.476075010455714,-2,2.757486172500631,0.3053018329665065
2,True,True,5,72,2.8481715029158035,75.0,1.559846299129126,-1,2.491253477230177,0.31486854108516127
2,True,True,6,70,1.9887413975381203,65.0,4.718740362963721,-2,1.802629127809509,0.010293249972164631
2,True,True,7,72,1.1726952211576498,68.0,0.891931498735803,2,1.1375352688224984,0.34135133295785636
2,True,True,8,77,2.658151251205874,73.0,0.5898248115464498,5,1.5859760533624014,0.4942845000186935
3,True,True,1,61,-0.0,,,0,0.0,0.0
3,True,True,2,59,2.5271477832898004,63.0,1.8411243506249906,-2,3.408827837528595,0.020238209050148726
3,True,True,3,56,4.067820206246656,57.0,2.836812487403918,-3,3.5946898353331926,0.11117912491317838
3,True,True,4,52,11.418269087484155,48.0,10.963703224018673,-4,2.6230808275728976,0.3581316670170054
3,True,True,5,59,1.647078094666666,56.0,1.1947040798847928,7,2.4378589015048977,0.036223707953467965
3,True,True,6,57,2.6248755859588324,55.0,0.5177837798927171,-2,1.5794149348760347,0.024030374945141375
3,True,True,7,50,1.2552146261206067,55.0,1.1246157374992962,-7,1.7529267604395251,0.07703970791772008
3,True,True,8,52,7.212525838977715,54.0,0.017224708635412873,2,0.12307277013769331,0.05501512496266514
4,True,True,1,65,-0.0,,,0,0.0,0.0
4,True,True,2,68,3.3721655478362176,67.0,1.7346468552745236,3,3.2694808087946488,0.34948941599577665
4,True,True,3,70,2.040190219573672,64.0,5.258477259030199,2,3.411931405518565,0.12473841605242342
4,True,True,4,72,2.4822939390866985,68.0,1.711071444975707,2,2.98978804183758,0.07233450002968311
4,True,True,5,70,1.6731536851119195,73.0,2.4270211525963985,-2,2.5944783876114026,1.5194268329069018
4,True,True,6,64,21.55523792274338,66.0,22.451868363805254,-6,1.7616628336948157,0.4229912080336362
