Trial,Generated,Changed,Position,Tone,Surprise,Alternative,Alt_Surprise,Entropy,RT
0,False,False,1,60,-0.0,,,0.0,0.0
0,False,False,2,68,6.410092124506736,57.0,3.7151658973087507,3.4160728239352625,0.7818362640682608
0,False,False,3,71,3.294259765186547,66.0,2.167642265005514,3.411931405518565,0.5316526279784739
0,False,False,4,73,1.4384805915889347,66.0,3.86098543007606,2.5609956263322355,0.31029755203053355
0,False,False,5,75,1.7804289550885648,76.0,2.707535585289892,2.6359643215332498,0.4042064870009199
0,False,False,6,73,1.0638532041646285,76.0,2.6742854098712456,2.2766048577550873,1.3911022359970957
0,False,False,7,75,1.755167450396996,71.0,0.857925677907476,1.6142466488433134,0.6817268780432642
0,False,False,8,78,1.580829032623216,73.0,0.9824287598015164,1.7006903867994365,0.4824123519938439
1,False,False,1,64,-0.0,,,0.0,0.0
1,False,False,2,62,2.1810286306335875,60.0,5.626575441501561,3.443106587287907,5.952068374957889
1,False,False,3,59,3.8976802395396626,55.0,5.808433303850101,3.404575092537958,2.93038711999543
1,False,False,4,66,3.434560335834438,62.0,1.3141931201469446,2.7143235377683403,0.5825024419464171
1,False,False,5,64,0.88042542370558,57.0,2.615106408415872,2.1562843120309365,0.10195313999429345
1,False,False,6,62,1.6371812587667438,57.0,1.9846050567135765,1.795296753225922,1.5698229339905083
1,False,False,7,59,1.3906198685398554,57.0,1.4076313777090255,1.8583860886241073,0.4803775940090418
1,False,False,8,62,2.9495497908272568,66.0,0.24688365462860376,0.791238967194941,0.4195834370329976
