Trial,Generated,Changed,Position,Tone,Surprise,Alternative,Alt_Surprise,PitchDif,Entropy,RT
0,True,True,1,64,-0.0,,,0,0.0,0.0
0,True,True,2,66,2.1769089746898738,61.0,4.275235596939168,2,3.443106587287907,0.3550727920373902
0,True,True,3,63,3.8107143876870753,64.0,2.131805255908111,-3,3.411795809706611,1.585097375093028
0,True,True,4,68,2.5922078498109493,61.0,2.1027210801629965,5,2.9075982725379017,0.3679249160923064
0,True,True,5,71,4.348613161627109,63.0,3.2639943881715046,3,2.448783333852265,0.9704695839900523
1,True,False,1,61,-0.0,,,0,0.0,0.0
1,True,False,2,59,2.5271477832898004,69.0,5.688082251000203,-2,3.408827837528595,1.2839516249950975
1,True,False,3,56,4.067820206246656,61.0,2.2656933709458116,-3,3.5946898353331926,0.6551844580098987
1,True,False,4,61,2.849069825005766,59.0,1.1898808949174529,5,2.6226701502924126,1.154298875015229
1,True,False,5,64,1.9390872516262874,63.0,0.7068945973281696,3,1.5277130041668694,1.1454783749068156
2,False,False,1,74,-0.0,,,0,0.0,0.0
2,False,False,2,72,1.8848527288588888,69.0,4.499987783569475,-2,3.2684824570540854,16.628243166953325
2,False,False,3,70,2.232588002143888,73.0,4.392526360800033,-2,3.376412662358794,0.3983977499883622
2,False,False,4,72,1.4737485021197012,67.0,2.691342858982406,2,2.8148260764890853,15.963774124975316
2,False,False,5,70,1.657008764278268,68.0,4.497786408222361,-2,2.9411353204395856,1.2701867080759257
3,False,False,1,67,-0.0,,,0,0.0,0.0
3,False,False,2,69,1.912956758110731,65.0,2.215979728426081,2,3.360822132241086,1.2493807079736143
3,False,False,3,78,6.4117252747293785,76.0,4.915766347315936,9,3.266746340420286,1.3263832080410793
3,False,False,4,81,2.772239803608328,76.0,0.7229291611681286,3,1.9994368592117655,0.39050900004804134
3,False,False,5,76,0.37989021138956514,80.0,6.281618178646944,-5,1.192601183089318,0.287182042025961
4,True,True,1,60,-0.0,,,0,0.0,0.0
4,True,True,2,62,1.9296774372723635,58.0,2.6640636924952426,2,3.4160728239352625,0.8413357089739293
4,True,True,3,60,2.3480213048269967,64.0,1.9235572125283575,-2,3.40551892997495,1.453729166998528
4,True,True,4,57,2.9555387803367785,58.0,2.4316092994626874,-3,2.8400015760953323,0.14549283299129456
4,True,True,5,64,2.9909024588771214,55.0,2.7593136366304116,7,2.845386112277498,0.6141607920872048
5,True,False,1,61,-0.0,,,0,0.0,0.0
5,True,False,2,63,1.8411243506249906,59.0,2.5271477832898004,2,3.408827837528595,0.4415344169829041
5,True,False,3,66,3.1721976403852477,60.0,3.262987078276153,3,3.42285722931988,1.185049416963011
5,True,False,4,59,4.244517272264792,68.0,1.3455445022991588,-7,2.7429872603505547,1.6461830419721082
5,True,False,5,61,2.3325071751781725,56.0,1.1545959806747335,2,2.295423703756313,0.512637292034924
6,False,True,1,71,-0.0,,,0,0.0,0.0
6,False,True,2,69,1.8632407968732245,74.0,3.3474950669819874,-2,3.326987972014199,1.641484500025399
6,False,True,3,68,4.609558042694767,65.0,5.498523382787687,-1,3.266746340420286,0.6809789590770379
6,False,True,4,66,0.9945706952563935,69.0,2.158529572537039,-2,2.2571949463101673,0.6856752500170842
6,False,True,5,68,2.0900267191226742,64.0,1.2779504400657458,2,2.562100756431419,0.4602373329689726
7,False,False,1,73,-0.0,,,0,0.0,0.0
7,False,False,2,71,1.9855831148423633,77.0,5.258001166155915,-2,3.300234722958809,0.4913772909203544
7,False,False,3,73,2.2380607273497417,68.0,3.7206722401141907,2,3.3264911720948964,0.4005560000659898
7,False,False,4,75,2.398928874741473,64.0,5.774008879503594,2,3.045964147901633,0.22997220803517848
7,False,False,5,76,2.428609967605739,71.0,3.2316287540254858,1,2.753300076556645,1.016245749895461
8,True,False,1,68,-0.0,,,0,0.0,0.0
8,True,False,2,71,3.294259765186547,65.0,3.594526874828702,3,3.411931405518565,0.42565929098054767
