Trial,Generated,Changed,Position,Tone,Surprise,Alternative,Alt_Surprise,PitchDif,Entropy,RT
0,True,True,1,65,-0.0,,,0,0.0,0.0
0,True,True,2,68,3.3721655478362176,67.0,1.7346468552745236,3,3.2694808087946488,2.0362034579738975
0,True,True,3,64,5.258477259030199,70.0,2.040190219573672,-4,3.411931405518565,1.6986498329788446
0,True,True,4,68,3.25456323179581,63.0,3.1030930237334546,4,2.7419486628586074,0.4634187499759719
0,True,True,5,71,2.181350876769494,61.0,3.9005615340454463,3,1.9794672629177674,0.31175100000109524
0,True,True,6,62,18.24511112197467,78.0,16.4750552089081,-9,1.7695225184913743,0.47129841591231525
0,True,True,7,64,1.33856015562221,69.0,3.292314997530754,2,2.5084276472678795,0.44200074998661876
0,True,True,8,62,2.182130972484414,71.0,4.04472477316258,-2,2.148333880265994,0.5379425410646945
1,True,True,1,61,-0.0,,,0,0.0,0.0
1,True,True,2,59,2.5271477832898004,63.0,1.8411243506249906,-2,3.408827837528595,0.5248578329337761
1,True,True,3,56,4.067820206246656,57.0,2.836812487403918,-3,3.5946898353331926,0.4730540830641985
1,True,True,4,48,10.963703224018673,52.0,11.418269087484155,-8,2.6230808275728976,1.0244166249176487
1,True,True,5,55,5.212199068926396,56.0,1.4991040499792754,7,2.0866939025907065,1.990321582998149
1,True,True,6,64,6.541753181917262,53.0,0.2817936924348471,9,1.286237361649785,0.33315641595982015
1,True,True,7,62,0.708612521787431,67.0,4.012574544190853,-2,1.9288920072516091,0.48993079201318324
1,True,True,8,60,1.9959252160671634,59.0,4.0141254034345595,-2,2.2647705807732064,0.3789872080087662
