Trial,Generated,Changed,Position,Tone,Surprise,Alternative,Alt_Surprise,PitchDif,Entropy,RT
0,True,True,1,71,-0.0,,,0,0.0,0.0
0,True,True,2,78,5.233696221794538,73.0,2.2380607273497417,7,3.3264911720948964,0.4907420420786366
0,True,True,3,70,7.134439556285811,85.0,7.328797733259908,-8,3.2501734379793947,0.7296131249750033
0,True,True,4,75,4.019970696054679,78.0,2.817712890183862,5,3.0110516111521286,0.1874517910182476
0,True,True,5,73,0.21999555678672386,72.0,5.777269050285512,-2,0.9636804641587337,0.6715960829751566
1,False,True,1,66,-0.0,,,0,0.0,0.0
1,False,True,2,74,6.784821194289326,75.0,6.535383141627113,8,3.411795809706611,0.5008865839336067
1,False,True,3,76,2.2004931279775914,79.0,4.570540677862838,2,3.2684824570540854,0.33871733397245407
1,False,True,4,78,2.580754043522518,71.0,4.2991117525524825,2,2.951968438452314,0.26272424997296184
1,False,True,5,81,3.1274781453991127,76.0,1.5546982629824755,3,2.6696072036197895,0.28896045906003565
2,True,False,1,61,-0.0,,,0,0.0,0.0
2,True,False,2,59,2.5271477832898004,69.0,5.688082251000203,-2,3.408827837528595,0.8283273330889642
2,True,False,3,61,2.2656933709458116,56.0,4.067820206246656,2,3.5946898353331926,1.177885957993567
2,True,False,4,63,1.6899504198616648,59.0,2.4626712023813706,2,2.8664687871452807,0.005782208987511694
2,True,False,5,66,1.3219143223794647,56.0,3.2470004871012597,3,2.3899134257661663,0.16884079191368073
0,True,True,1,64,-0.0,,,0,0.0,0.0
0,True,True,2,66,2.1769089746898738,61.0,4.275235596939168,2,3.443106587287907,0.5782006250228733
0,True,True,3,64,2.131805255908111,63.0,3.8107143876870753,-2,3.411795809706611,0.23001104104332626
0,True,True,4,66,1.4244173946825458,57.0,5.668460825327502,2,2.900930917467158,0.1862511249491945
0,True,True,5,64,1.758014825183962,69.0,2.324125091287344,-2,2.9169595012944955,0.13395120797213167
1,True,True,1,71,-0.0,,,0,0.0,0.0
1,True,True,2,78,5.233696221794538,73.0,2.2380607273497417,7,3.3264911720948964,0.31314662494696677
1,True,True,3,70,7.134439556285811,85.0,7.328797733259908,-8,3.2501734379793947,0.45789108402095735
1,True,True,4,75,4.019970696054679,78.0,2.817712890183862,5,3.0110516111521286,0.3442567080492154
1,True,True,5,72,5.777269050285512,73.0,0.21999555678672386,-3,0.9636804641587337,0.08440666703972965
