Generated,Change,Position,Surprisal,Entropy,Probe,Sequence,Probabilites,Alternatives
False,True,3,"(True, True)","[0, 3.376412662358794, 2.6645762985161463, 1.9720098550214682, 1.8361757655536401, 0.9633658057960113, 0.7023959448611344, 0.9660010349223531]",72,"[72, 75, 72, 83, 79, 76, 79, 81]","[-0.0, 3.671289084070686, 1.7565755647602315, 22.355570591212945, 1.2901479575215675, 0.23867972610429194, 0.15952118847218968, 0.22914675097854767]","(62, 8.461209114171977e-07)"
False,True,2,"(True, False)","[0, 3.4110309588199024, 3.489502821462442, 2.926677679099307, 0.9055454987306849, 0.34386133609746916, 0.226561348416244, 0.2663873624912555]",66,"[66, 59, 55, 58, 57, 55, 57, 59]","[-0.0, 5.345847677121749, 9.535097009359411, 3.3218963267101116, 0.21469247732567423, 0.06770696998066844, 0.04430676358914898, 0.055747365829836235]","(62, 0.09210647961306341)"
False,True,2,"(False, True)","[0, 3.408827837528595, 2.081673465389106, 2.466280051942421, 1.804706369939447, 1.82156996400426, 0.4478114905636556, 0.5827977984732764]",61,"[61, 70, 68, 66, 68, 65, 63, 65]","[-0.0, 5.434461187978927, 0.7185919317727147, 1.4885124153995006, 0.7731827435218052, 2.7903306112538364, 3.872954846008632, 0.17529365535877955]","(81, 7.15801471079547e-05)"
False,True,2,"(False, False)","[0, 3.266746340420286, 2.774360151531555, 2.7392771669598033, 2.779179815894966, 1.523040002818871, 1.9861183791188237, 1.5477135916518994]",69,"[69, 74, 76, 74, 76, 74, 71, 72]","[-0.0, 4.399445275431868, 2.113775885597731, 1.3295731393491979, 1.7696677510953271, 0.5694277708785569, 3.5482324305482527, 0.9079255013530626]","(72, 0.32417747592273005)"
False,True,4,"(True, True)","[0, 3.2694808087946488, 2.917357758315691, 2.756707974101116, 1.8795617489882885, 2.2731612970319173, 2.524625676259124, 1.838833457685101]",65,"[65, 67, 69, 67, 68, 70, 67, 68]","[-0.0, 1.7346468552745236, 2.025265936629775, 1.8874446446794293, 22.718392572808742, 1.991841091412683, 2.396362102609273, 3.0343666870632515]","(81, 2.0018979874055985e-07)"
False,True,4,"(True, False)","[0, 3.408827837528595, 1.9492097394030767, 2.1429511433393884, 1.4341153647977523, 1.6359944260933974, 1.3599806908210021, 1.6304701535438149]",61,"[61, 68, 66, 64, 72, 71, 69, 67]","[-0.0, 4.189392739881828, 0.633829519475531, 1.677221267802299, 19.50982159267264, 0.5385477512116436, 2.127215491868029, 0.8091565129007182]","(66, 0.5313219225751807)"
False,True,5,"(False, True)","[0, 3.443106587287907, 2.917534265801543, 1.4261824764959032, 1.6863953359704023, 1.5049446736480836, 0.3402289292663898, 1.2428503114790221]",64,"[64, 61, 66, 64, 66, 64, 66, 68]","[-0.0, 4.275235596939168, 3.333410854503022, 0.961717189904324, 1.194216307322581, 1.151147117665792, 0.06292726315624077, 0.5306055622761685]","(65, 2.950266025899463e-07)"
False,True,5,"(False, False)","[0, 3.42285722931988, 2.8986045404797296, 2.5780569355052956, 1.90790472022317, 1.97318822689321, 2.4036853093156965, 1.0726515765128672]",63,"[63, 65, 67, 65, 63, 65, 63, 65]","[-0.0, 1.9103020383379123, 1.921516703412774, 1.6664697097740082, 0.9677501502529112, 1.276223378447518, 1.491370677456285, 0.46554928868325457]","(62, 0.2897456890782349)"
False,True,6,"(True, True)","[0, 3.3264911720948964, 2.7753494038703193, 2.8723081369546084, 2.6087162670263444, 1.9617883385784691, 2.021634272779783, 2.3935866356878694]",71,"[71, 69, 71, 74, 76, 78, 72, 81]","[-0.0, 1.8632407968732245, 1.5242075413003868, 2.767637047544374, 1.5331928901667433, 2.0572272517872934, 33.322549189808214, 1.5701738766777438]","(67, 7.227888128289657e-11)"
False,True,7,"(True, False)","[0, 3.376412662358794, 2.8148260764890853, 2.3817103875623187, 2.4982512055345905, 1.9274195940918777, 1.9060043339726056, 1.3241656340878452]",72,"[72, 70, 68, 70, 73, 75, 77, 89]","[-0.0, 2.232588002143888, 2.178922157247622, 1.216315871392265, 3.0943453292878633, 1.2302224860530901, 1.1069055258526639, 35.49470668371183]","(75, 0.5688335358541698)"
False,True,7,"(False, True)","[0, 3.2684824570540854, 2.951968438452314, 2.6234986606050335, 1.9018847480614156, 1.1875536799127864, 1.2810985563810748, 1.625071396377527]",74,"[74, 76, 79, 76, 81, 79, 81, 83]","[-0.0, 2.2004931279775914, 3.017365338897388, 1.3154099236963388, 2.922308267651052, 0.5137808507530628, 2.2271272279809025, 0.9458949899535586]","(85, 5.033276925024223e-09)"
False,True,6,"(False, False)","[0, 3.411931405518565, 2.98978804183758, 2.5944783876114026, 2.3097411706841617, 1.1414161243859025, 1.4350473329756566, 0.7786437826147516]",68,"[68, 70, 72, 75, 70, 72, 70, 67]","[-0.0, 2.040190219573672, 2.4822939390866985, 2.006354367177966, 3.924126848007824, 0.5190010294503423, 1.3081985964690601, 3.0124779115857905]","(68, 0.5160742035380237)"
False,False,-1,False,"[0, 3.4160728239352625, 2.514534537103934, 2.3432081728405474, 2.1419020295217273, 1.845688013987649, 0.04755765900398927, 0.04686906358821009, 5.676244082369665]",60,"[60, 63, 65, 67, 65, 68, 67, 65, 68]","[-0.0, 2.760524168613871, 1.1141043108451112, 1.216363784757757, 1.2016735013748214, 3.8558748311331734, 0.006364594074798947, 0.006984047501647191, 5.78135971352466]",False
False,False,-1,False,"[0, 3.266746340420286, 2.9501486649082382, 2.501363283711403, 1.4768737671358119, 1.7489696147936404, 1.4160960040394412, 1.0619675948967315, 5.676244082369665]",69,"[69, 71, 69, 68, 66, 69, 68, 66, 58]","[-0.0, 2.0143509242657833, 1.6000124868078547, 4.514551935898812, 0.8573172261155081, 1.0669175129375037, 0.9837831916619096, 0.35193941301113624, 5.78135971352466]",False
False,False,-1,False,"[0, 3.2684824570540854, 2.951968438452314, 3.043466372887097, 2.3769942384511418, 1.198281023739076, 1.5730425300573878, 0.37445974455721415, 5.676244082369665]",74,"[74, 76, 69, 71, 73, 74, 73, 71, 70]","[-0.0, 2.2004931279775914, 4.224579289880181, 2.1008963680196397, 1.8818667188717972, 0.8476876867270404, 0.775274873135153, 4.080401184964992, 5.78135971352466]",False
False,False,-1,False,"[0, 3.4160728239352625, 2.514534537103934, 2.2257383145311236, 1.7880556476467684, 1.7999178495028563, 1.7749962029141737, 0.689100771167063, 5.676244082369665]",60,"[60, 63, 60, 63, 65, 63, 65, 72, 63]","[-0.0, 2.760524168613871, 2.5149088745790578, 0.9859230143844787, 1.3270044729471369, 2.7274300120467214, 0.7574291111473686, 0.25369431404166776, 5.78135971352466]",False
False,False,-1,False,"[0, 3.381146931142195, 2.7867124131905987, 2.3416968032185195, 2.418163144657668, 2.253398130953385, 2.1541415120974508, 1.9635407789141206, 5.676244082369665]",70,"[70, 68, 66, 68, 70, 68, 66, 61, 57]","[-0.0, 2.127682525816999, 2.269383844661205, 1.0948383000777684, 1.136761743241185, 1.3944085477052746, 1.2667471480474992, 1.7185218615883058, 5.78135971352466]",False
False,False,-1,False,"[0, 3.42285722931988, 2.7427778807617216, 1.9571436991551256, 2.014702139545037, 1.616902875941198, 1.6886523234737902, 0.2317105892490008, 5.676244082369665]",63,"[63, 60, 63, 65, 70, 72, 67, 70, 75]","[-0.0, 3.262987078276153, 1.4573725102627897, 0.9169499641605642, 3.57783203924746, 1.2579153873912514, 1.2659815032939568, 0.044655182851540916, 5.78135971352466]",False
False,False,-1,False,"[0, 3.443106587287907, 2.6925568109736306, 2.8107650813750356, 1.2827115716790776, 0.5126516374661594, 0.3274067241267564, 0.08289291356159079, 5.676244082369665]",64,"[64, 69, 64, 60, 57, 60, 57, 60, 66]","[-0.0, 3.754500493184299, 3.1315899337014397, 5.200081629956822, 0.40140505210897426, 0.10025223973563453, 0.07676064276522411, 0.011655161709186693, 5.78135971352466]",False
False,False,-1,False,"[0, 3.4110309588199024, 2.174831920751357, 2.32409237962857, 1.3156884975497782, 0.08530292556478516, 0.01416000442245542, 0.019230876153930213, 5.676244082369665]",66,"[66, 75, 73, 68, 64, 63, 61, 63, 59]","[-0.0, 6.535383141627113, 0.7834894750907403, 3.904139053537283, 0.30204225694935655, 0.013267759133824338, 0.0015147217810342194, 0.0021809849242738523, 5.78135971352466]",False
False,False,-1,False,"[0, 3.4110309588199024, 2.876181401058085, 2.2188378673727596, 2.178555745376686, 0.09150084326317391, 0.08988581409424314, 0.12914893895111634, 5.676244082369665]",66,"[66, 71, 68, 69, 68, 66, 64, 61, 60]","[-0.0, 3.8505333139651863, 3.4609475435411023, 2.5679678073507994, 0.97681248980958, 0.012488691790072321, 0.012543003352737607, 0.020035445924875318, 5.78135971352466]",False
