Trial,Generated,Changed,Position,Tone,Surprise,Alternative,Alt_Surprise,PitchDif,Entropy,RT
0,True,False,1,61,-0.0,,,0,0.0,0.0
0,True,False,2,62,4.409828997827958,59.0,2.5271477832898004,1,3.408827837528595,2.0676588749629445
0,True,False,3,67,3.9188750009807487,64.0,1.9235572125283575,5,3.404575092537958,0.9601484999875538
0,True,False,4,64,2.889838789024983,65.0,2.973229285005483,-3,3.1629971068620097,0.5417305839946494
0,True,False,5,62,0.6808806829306995,57.0,3.3138272121883188,-2,1.9145395269976395,0.7589837080449797
0,True,False,6,60,1.6099979400709952,64.0,1.7473544585620397,-2,2.2296765734679576,0.6147749579977244
0,True,False,7,57,1.7473186521427908,62.0,1.2135085573999118,-3,1.8601825026544576,0.3309700000099838
0,True,False,8,65,8.078488485968961,60.0,3.8874141817725225,8,0.6125444299891276,0.042570958961732686
